Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
1100,563,,146,Mar del Plata,-57.5685457,-38.0210446,"Avenida Juan B. Justo & Bestoso, Mar del Plata, Provincia de Buenos Aires, Argentina"
1101,563,,702,Mar del Plata,-57.5711611,-38.0188999,"Avenida Juan B. Justo & Avenida Independencia, Mar del Plata, Provincia de Buenos Aires, Argentina"
1102,563,,46,Mar del Plata,-57.5739063,-38.0169489,"Avenida Juan B. Justo & España, Mar del Plata, Provincia de Buenos Aires, Argentina"
1103,563,,45,Mar del Plata,-57.5767165,-38.0148128,"Avenida Juan B. Justo & Américo Raúl Canosa, Mar del Plata, Provincia de Buenos Aires, Argentina"
1104,563,,144,Mar del Plata,-57.5800793,-38.0123217,"Avenida Juan B. Justo & San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina"
1105,563,,465,Mar del Plata,-57.5835032,-38.00974,"Avenida Juan B. Justo & Italia, Mar del Plata, Provincia de Buenos Aires, Argentina"
1106,563,,145,Mar del Plata,-57.5871294,-38.0069555,"Avenida Juan B. Justo & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
1107,563,,44,Mar del Plata,-57.5923995,-38.0029781,"Avenida Juan B. Justo & Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina"
1108,563,,122,Mar del Plata,-57.5979268,-37.9993052,"Avenida Centenario, Mar del Plata, Provincia de Buenos Aires, Argentina"
1109,563,,47,Mar del Plata,-57.6028352,-37.9950965,"Avenida Juan B. Justo & Fernández J. N. , Mar del Plata, Provincia de Buenos Aires, Argentina"
1110,563,,123,Mar del Plata,-57.6081559,-37.9910767,"Avenida Juan B. Justo & Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
1111,563,,475,Mar del Plata,-57.6061479,-37.9885865,"Avenida Doctor Arturo Alió & Rodríguez Peña,, Mar del Plata, Provincia de Buenos Aires, Argentina"
1112,563,,16,Mar del Plata,-57.6035806,-37.9854445,"Avenida Doctor Arturo Alió & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
1113,563,,231,Mar del Plata,-57.6022941,-37.9838523,"Avenida Doctor Arturo Alió & Garay, Mar del Plata, Provincia de Buenos Aires, Argentina"
